id,name,genres,year,countries,directors,actors,duration_minutes,plot,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,processed_rating,poster_path
1,Braveheart,"动作史诗,古装剧,史诗,战争史诗,时代剧,传记,戏剧,战争",1995.0,United States,Mel Gibson,"Top cast77,Edit,Mel Gibson,William Wallace,Sophie Marceau",178.0,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,24.8,25.4,26.6,13.6,4.8,2.0,0.9,0.6,0.4,0.9,8.3,data/imdb_posters/1.jpg
2,Coco,"电脑动画,超自然奇幻,黑色喜剧,冒险,动画,家庭,幻想,戏剧,推理片,音乐",2017.0,"United States,Mexico","Lee Unkrich,Adrian Molina","Top cast23,Edit,Anthony Gonzalez,Miguel,Gael García Bernal",105.0,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",24.4,26.0,28.3,13.6,4.3,1.4,0.5,0.3,0.2,1.0,8.4,data/imdb_posters/2.jpg
3,The Iron Giant,"Kaiju,人工智能,外星人入侵,太空科幻,手绘动画,拍档喜剧,高概念喜剧,冒险,动画,喜剧",1999.0,"United States,Czech Republic,United Kingdom",Brad Bird,"Top cast30,Edit,Eli Marienthal,Hogarth Hughes,Harry Connick Jr.",86.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,19.7,20.3,32.5,17.4,5.8,2.1,0.8,0.4,0.3,0.8,8.1,data/imdb_posters/3.jpg
4,A Beautiful Mind,"心理剧情片,文献纪录片,时代剧,传记,戏剧,推理片",2001.0,United States,Ron Howard,"Top cast99+,Edit,Russell Crowe,John Nash,Ed Harris",135.0,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",17.0,25.8,34.1,15.5,4.5,1.5,0.6,0.3,0.2,0.5,8.2,data/imdb_posters/4.jpg
5,Tôkyô monogatari,"心理剧情片,戏剧",1953.0,Japan,Yasujirô Ozu,"Top cast30,Edit,Chishû Ryû,Shukichi Hirayama,Chieko Higashiyama",137.0,"An old couple visit their children and grandchildren in the city, but receive little attention.",24.8,19.0,26.4,14.6,5.9,3.1,1.5,1.0,0.9,2.9,8.1,data/imdb_posters/5.jpg
6,The Father,"心理剧情片,戏剧,推理片",2020.0,"United Kingdom,France,United States",Florian Zeller,"Top cast11,Edit,Anthony Hopkins,Anthony,Olivia Colman",97.0,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",17.7,26.9,33.3,14.7,4.3,1.4,0.5,0.3,0.3,0.6,8.2,data/imdb_posters/6.jpg
7,A Clockwork Orange,"反乌托邦科幻,黑色喜剧,犯罪,科幻",1971.0,"United Kingdom,United States",Stanley Kubrick,"Top cast94,Edit,Malcolm McDowell,Alex,Patrick Magee",136.0,Alex DeLarge and his droogs barbarize a decaying near-future.,23.8,24.7,25.1,13.5,5.5,2.6,1.4,0.9,0.7,1.7,8.2,data/imdb_posters/7.jpg
8,Barry Lyndon,"冒险史诗,古装剧,史诗,心理剧情片,悲剧,政治剧情片,时代剧,环球旅行冒险片,黑色喜剧,冒险",1975.0,"United Kingdom,United States",Stanley Kubrick,"Top cast51,Edit,Ryan O'Neal,Barry Lyndon,Marisa Berenson",185.0,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,23.1,20.5,27.3,15.9,6.2,2.7,1.2,0.8,0.6,1.7,8.1,data/imdb_posters/8.jpg
9,Hotel Rwanda,"史诗,文献纪录片,传记,历史,戏剧,战争",2004.0,"United States,United Kingdom,South Africa,Italy",Terry George,"Top cast39,Edit,Don Cheadle,Paul Rusesabagina,Sophie Okonedo",121.0,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",14.7,23.6,35.6,17.5,4.7,1.5,0.6,0.4,0.3,1.1,8.1,data/imdb_posters/9.jpg
10,Gran Torino,"心理剧情片,黑色喜剧,戏剧",2008.0,"Germany,United States",Clint Eastwood,"Top cast64,Edit,Clint Eastwood,Walt Kowalski,Bee Vang",116.0,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",14.8,25.2,33.6,17.3,5.3,1.7,0.7,0.4,0.3,0.6,8.1,data/imdb_posters/10.jpg
